Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSSSCG00000005533	106.288699049493	0.3063211615209361	0.10074958487302209	1.0311402740933017e-4	0.005560242281960146	TRUE
ENSSSCG00000000675	316.15926200382177	0.305845641819962	0.15770689734157645	0.0018378666643592363	0.02982877637809807	TRUE
ENSSSCG00000007484	54.36872426082011	0.3057170666891142	0.10848768544429893	1.968104226048774e-4	0.007983977892409625	TRUE
ENSSSCG00000006372	42.72504870101181	0.30525982576590016	0.13451924974102247	8.174986237809018e-4	0.018374946844450134	TRUE
ENSSSCG00000039270	109.95555628643606	0.3051766166834914	0.11855641295401338	3.9297833361585406e-4	0.011736746609487673	TRUE
ENSSSCG00000008103	168.4421001827296	0.30348502382983317	0.10529452873671004	1.6952839070499313e-4	0.007265776112362022	TRUE
ENSSSCG00000034702	17.141220108550417	0.3029992462102464	0.15703288524045192	0.0016838798377107266	0.02822964077099132	TRUE
ENSSSCG00000040300	18.019470159853544	0.30144136989956005	0.4286846139377667	0.005900406705015415	0.06189023884857383	FALSE
ENSSSCG00000012790	71.792620322192235	0.3011353859412972	0.11130212827442561	2.7500829859702664e-4	0.009638002432982908	TRUE
ENSSSCG00000001549	196.7769033526429	0.30102620065889796	0.06465518978293017	1.7245192322352302e-7	7.603879501415629e-5	TRUE
ENSSSCG00000014441	770.8119775661839	0.3008943081228939	0.09986706410102188	1.1417126662685676e-4	0.005832344973948387	TRUE
